#"Step","Potential Energy (kJ/mole)","Temperature (K)"
240000,-1302648.6391880414,399.83912232393834
240500,-1302640.3666567665,548.1824935494002
241000,-1302667.8174077938,595.2951010177047
241500,-1302638.7755211256,482.53197274087296
242000,-1302645.4652187605,412.1227766399569
242500,-1302625.1178588239,389.3824907208256
243000,-1302645.8337411531,513.9069681962195
243500,-1302642.0397824536,360.58640342525325
244000,-1302622.6277181187,341.3891611058736
244500,-1302643.705046176,369.5941436115629
245000,-1302659.9092339121,376.28924323597755
245500,-1302650.6098690066,357.3967419793614
246000,-1302645.140354929,317.4325763403282
246500,-1302620.5008636357,332.60528332666183
247000,-1302656.3664841948,278.8793225319593
247500,-1302650.9440316998,337.7772661299698
248000,-1302640.3449067783,465.00155219279924
248500,-1302612.052663297,293.2227601611939
249000,-1302660.6961805655,389.38831979378284
249500,-1302609.510093471,311.4622824011175
250000,-1302650.4135519199,465.8060552118894
250500,-1302623.091743464,404.5301874131066
251000,-1302634.3603995086,441.9268159117917
251500,-1302649.0455792171,280.8974320731407
252000,-1302652.4272151852,459.77991438132864
252500,-1302638.9004014574,401.0350490516737
253000,-1302643.652239356,356.9299955095017
253500,-1302676.6653113628,360.24569715664495
254000,-1302651.9923677403,292.9756762330945
254500,-1302643.7993429238,313.53064352090706
255000,-1302665.508416658,252.652613933726
255500,-1302664.7944931018,279.53758711952037
256000,-1302669.807219476,383.9783140665169
256500,-1302666.930611311,385.1377268657802
257000,-1302674.9380383263,331.4018278505113
257500,-1302657.437581533,440.1873660463004
258000,-1302649.8043414864,500.6575144029185
258500,-1302621.7199529244,434.45546637351356
259000,-1302630.5388075495,341.8883963182279
259500,-1302652.6787972248,415.172462743331
260000,-1302649.8598332703,464.6330947389463
260500,-1302668.7207360442,508.15339357720137
261000,-1302626.2190546752,375.9552204965405
261500,-1302619.101728786,320.22524829263295
262000,-1302646.148613864,542.8955312067974
262500,-1302572.7107307212,407.8134158882538
263000,-1302647.908852249,447.1043411099552
263500,-1302638.609307274,437.0536509816765
264000,-1302649.356702855,447.3326540216073
264500,-1302647.074397409,400.5387268084698
265000,-1302646.16944605,348.2321233142768
265500,-1302638.6998397307,339.8928883924449
266000,-1302659.529372256,427.98770923004685
266500,-1302674.366958623,483.73251722604994
267000,-1302654.1130762335,337.54873531074395
267500,-1302647.0812534848,440.4872668468917
268000,-1302640.6512973083,384.83644396811405
268500,-1302649.3016112987,294.802044112229
269000,-1302669.6781297103,376.5901687625378
269500,-1302652.3313723952,416.4698522776675
270000,-1302645.5920873196,387.33878758751484
270500,-1302657.6899797157,446.1151885229911
271000,-1302633.9724000306,545.473265691207
271500,-1302620.2979942604,347.68739224093787
272000,-1302609.5534141732,275.20955797998596
272500,-1302654.3078030434,451.68642697373065
273000,-1302653.4937066035,452.32733311755686
273500,-1302641.035531611,374.9683132580949
274000,-1302634.2663696527,340.143971023044
274500,-1302636.0381474094,370.1872004698877
275000,-1302669.7563543818,382.04652459971754
275500,-1302643.7971093962,421.012152733182
276000,-1302626.059676532,409.7469830090638
276500,-1302625.1697824723,367.1010155799769
277000,-1302630.0567122344,339.4519321543993
277500,-1302633.7590540801,334.2441619420989
278000,-1302641.5057709469,463.0602163210463
278500,-1302647.5706772034,408.15903032149595
279000,-1302612.484440387,414.37093362976253
279500,-1302666.150357583,468.50284806369024
280000,-1302683.4926122294,466.24787475706387
280500,-1302637.040217193,329.64135116926616
281000,-1302644.67918688,352.2097292651142
281500,-1302646.5994218413,390.62850759475936
282000,-1302632.439869206,368.0052825299144
282500,-1302654.9667634452,600.4470822742837
283000,-1302635.105309469,386.2039852582512
283500,-1302621.9110629023,388.9603309840568
284000,-1302669.7073326535,414.7236827866306
284500,-1302646.646500163,566.8320522811275
285000,-1302635.324315989,432.21703396459856
285500,-1302643.3367178154,478.0912327343326
286000,-1302613.3860968929,411.4144584591977
286500,-1302610.6449556227,403.29186070931223
287000,-1302616.6279173957,441.433863114612
287500,-1302637.0498933143,472.51322850136296
288000,-1302644.2709344712,316.87645481589664
288500,-1302663.9587948339,433.0604076131192
289000,-1302648.9808708923,310.3616795702377
289500,-1302633.1474326905,344.3637744304495
290000,-1302643.5142075447,423.8016331075921
290500,-1302654.2284021676,406.37346458161153
291000,-1302640.0524589056,413.1351644391197
291500,-1302626.3558368264,407.36454418427456
292000,-1302609.8724778201,504.1308187707314
292500,-1302619.6922203896,473.2315298059036
293000,-1302652.1699495036,406.1610735004756
293500,-1302619.0089732914,318.3070773138175
294000,-1302655.6888502794,455.18838558942304
294500,-1302650.2836559096,426.0074276812377
295000,-1302653.876187374,397.8121638117257
295500,-1302673.0416802093,300.83711503699675
296000,-1302662.7266410608,311.32460414305797
296500,-1302660.2130077018,356.8386688177495
297000,-1302676.8667572152,383.5489373804139
297500,-1302642.658659011,292.1456642821371
298000,-1302629.1192402784,224.54094513011404
298500,-1302635.0708222075,364.7709162728401
299000,-1302662.099125506,482.8059728266011
299500,-1302663.86887505,358.62553302127736
300000,-1302668.39070519,376.34857119489976
300500,-1302668.4731442549,313.10401153570814
301000,-1302654.9057113964,328.94565379801685
301500,-1302671.9609530203,293.30178641010116
302000,-1302664.5285117566,347.7001578408038
302500,-1302638.27186714,325.5340955738586
303000,-1302664.0494472682,403.5380171858036
303500,-1302640.5389457238,344.79114435712233
304000,-1302647.1420802178,328.86318356017205
304500,-1302654.1753862696,343.45819926258065
305000,-1302608.5379708845,402.922687432795
305500,-1302621.2037609387,560.9928511630192
306000,-1302628.1672207052,399.5375977645765
306500,-1302626.018221603,353.5817456683968
307000,-1302654.289336491,422.01512561546224
307500,-1302629.0566719407,370.2966886107928
308000,-1302628.6502509275,526.021210188403
308500,-1302633.3347325295,414.4477284296354
309000,-1302626.2262568965,393.9734509497698
309500,-1302631.562404166,367.1610152083573
310000,-1302623.661055321,385.46696022055085
310500,-1302615.707106021,378.43055010681553
311000,-1302629.3990708236,357.09195058810025
311500,-1302648.1219199263,407.3432659228324
312000,-1302606.001613456,387.77520771635506
312500,-1302627.3024272958,355.61861127743407
313000,-1302645.577513175,429.21530443030304
313500,-1302626.902831748,411.4742309081527
314000,-1302650.0313533994,523.5941027950698
314500,-1302611.3818630385,535.5760088517441
315000,-1302632.9617954667,518.8581287431533
315500,-1302599.329628632,346.1511027676526
316000,-1302618.6424292503,369.3624523271038
316500,-1302665.0460098586,350.00574050612283
317000,-1302673.6095361537,428.8092240424204
317500,-1302628.3037747836,343.3138272957498
318000,-1302658.8785288231,399.7109111005244
318500,-1302655.5635063688,389.6883829840474
319000,-1302622.0605809423,436.74776533145473
319500,-1302622.2915148144,459.4614731604841
320000,-1302638.66642465,482.4404030732821
320500,-1302639.1886433046,529.4507723141678
321000,-1302628.0363989568,325.0263219471236
321500,-1302646.859555028,321.0871989290276
322000,-1302636.4888977737,298.2565608057022
322500,-1302636.5210480853,310.2564322517785
323000,-1302639.0359643209,306.2341520132532
323500,-1302641.5528046042,377.63608068572177
324000,-1302649.0706391875,304.91260502668666
324500,-1302684.6001802906,406.36409750756366
325000,-1302656.476207846,376.67854019489573
325500,-1302615.8913256328,310.2955470646848
326000,-1302672.7131127922,416.6112073362387
326500,-1302645.7318180609,364.16982482288546
327000,-1302620.704369447,455.2856344530541
327500,-1302629.2823049007,332.90624880464975
328000,-1302631.570710822,368.5763459382219
328500,-1302661.5378920936,400.0314901286769
329000,-1302676.1091723323,392.6846098633191
329500,-1302630.8286109902,316.4498679861434
330000,-1302655.2180732216,290.6210853135536
330500,-1302670.5768199733,379.32966396562955
331000,-1302641.7839384233,434.76328000787686
331500,-1302638.0746734948,546.8671617013113
332000,-1302619.294245958,457.72540621468704
332500,-1302628.4079354384,527.7965805324143
